chrA	posA	chrB	posB	contactCount	p.value	q.value	interactionID	interactionID_final
8	98415000	12	112515000	5	2.547673e-16	3.520545e-09	interaction_239901	interaction_858
1	211295000	13	64135000	5	2.271998e-16	3.246653e-09	interaction_240143	interaction_859
3	142595000	12	112975000	5	5.646309e-17	1.223166e-09	interaction_240201	interaction_860
12	1135000	20	34745000	6	2.696754e-17	7.116078e-10	interaction_240225	interaction_861
7	27485000	12	113705000	5	3.227753e-17	8.104382e-10	interaction_240631	interaction_862
3	15645000	12	114385000	5	9.432097e-16	8.775197e-09	interaction_240898	interaction_863
12	114855000	13	67075000	5	4.610027e-18	1.794916e-10	interaction_241226	interaction_864
7	149175000	12	114855000	5	4.301689e-18	1.69057e-10	interaction_241228	interaction_865
6	156145000	12	115535000	5	8.144568e-18	2.806107e-10	interaction_241614	interaction_866
3	189855000	12	115775000	5	1.508155e-16	2.428197e-09	interaction_241825	interaction_867
12	115865000	17	63115000	5	8.373824e-16	8.06741e-09	interaction_241875	interaction_868
6	159935000	12	116115000	5	3.12087e-17	7.904903e-10	interaction_242118	interaction_869
12	116485000	18	2925000	5	7.394924e-17	1.482815e-09	interaction_242403	interaction_870
5	105655000	12	116745000	5	4.65822e-16	5.365417e-09	interaction_242620	interaction_871
9	121655000	12	116795000	5	9.62886e-17	1.779084e-09	interaction_242630	interaction_872
1	21175000	8	13495000	5	9.425764e-16	8.773471e-09	interaction_242730	interaction_873
4	35905000	12	117775000	5	1.819327e-16	2.77897e-09	interaction_243135	interaction_874
1	211825000	15	48395000	5	3.153979e-16	4.095649e-09	interaction_243402	interaction_875
2	145895000	12	11845000	5	7.53304e-17	1.499422e-09	interaction_243501	interaction_876
5	78415000	12	119075000	5	8.163167e-16	7.92575e-09	interaction_243906	interaction_877
3	122215000	12	119565000	5	1.149828e-16	2.020471e-09	interaction_244266	interaction_878
12	11985000	16	54345000	5	4.778234e-16	5.472914e-09	interaction_244435	interaction_879
12	120065000	22	25275000	5	8.637846e-16	8.251073e-09	interaction_244672	interaction_880
4	122995000	12	120135000	5	8.308663e-17	1.607984e-09	interaction_244758	interaction_881
3	188995000	12	120355000	5	5.850652e-16	6.276263e-09	interaction_244869	interaction_882
12	122445000	14	47025000	5	3.363517e-16	4.290191e-09	interaction_245918	interaction_883
8	23985000	12	1235000	5	7.633362e-16	7.570804e-09	interaction_246165	interaction_884
1	212345000	9	8425000	5	1.107509e-15	9.831529e-09	interaction_246368	interaction_885
3	79325000	12	124265000	5	7.290235e-17	1.468209e-09	interaction_246812	interaction_886
1	212435000	3	81155000	5	3.304384e-17	8.222735e-10	interaction_246843	interaction_887
3	120685000	12	124325000	5	2.867779e-17	7.439616e-10	interaction_246850	interaction_888
2	150825000	12	124625000	5	2.176319e-16	3.159884e-09	interaction_247050	interaction_889
3	43685000	12	125065000	5	4.857438e-16	5.522156e-09	interaction_247285	interaction_890
12	126565000	18	65845000	5	2.917389e-16	3.870186e-09	interaction_248071	interaction_891
12	126615000	16	10545000	5	3.352634e-17	8.275222e-10	interaction_248122	interaction_892
5	169105000	12	126985000	5	6.756103e-16	6.952012e-09	interaction_248380	interaction_893
12	127715000	15	29555000	5	4.528461e-16	5.262362e-09	interaction_248953	interaction_894
4	87005000	12	127725000	5	5.278055e-16	5.829264e-09	interaction_248966	interaction_895
3	6525000	12	128325000	5	1.159158e-18	5.859224e-11	interaction_249433	interaction_896
3	172735000	12	130505000	5	7.096188e-17	1.441727e-09	interaction_250689	interaction_897
12	130645000	17	49975000	5	2.349128e-16	3.325941e-09	interaction_250775	interaction_898
6	150015000	12	130935000	5	1.283104e-16	2.183459e-09	interaction_250961	interaction_899
12	13285000	13	42405000	5	7.367792e-16	7.393305e-09	interaction_251807	interaction_900
5	124385000	12	132945000	5	9.206252e-18	3.073134e-10	interaction_251867	interaction_901
12	133745000	16	20065000	5	2.106436e-18	9.510749e-11	interaction_252169	interaction_902
12	13425000	20	16935000	5	3.750089e-16	4.608788e-09	interaction_252309	interaction_903
1	214025000	18	4975000	6	8.078928e-17	1.57743e-09	interaction_253275	interaction_904
8	129945000	12	14165000	5	3.317157e-16	4.252444e-09	interaction_253526	interaction_905
1	214595000	5	77015000	5	1.086161e-15	9.698051e-09	interaction_254010	interaction_906
12	14805000	15	55055000	5	7.601817e-17	1.511807e-09	interaction_254251	interaction_907
1	214935000	14	42785000	5	8.727842e-16	8.308408e-09	interaction_254492	interaction_908
1	215025000	12	50195000	5	1.813064e-16	2.773999e-09	interaction_254611	interaction_909
12	15185000	14	47315000	6	2.460368e-20	2.300623e-12	interaction_254873	interaction_910
1	215195000	14	55025000	5	8.609912e-16	8.232966e-09	interaction_254891	interaction_911
5	81765000	12	15315000	5	1.873147e-16	2.842778e-09	interaction_255073	interaction_912
1	215685000	12	39505000	5	2.628649e-16	3.597931e-09	interaction_255631	interaction_913
12	165000	20	62715000	8	1.895592e-24	4.551305e-16	interaction_256151	interaction_914
12	165000	20	62775000	8	2.695936e-24	6.340825e-16	interaction_256152	interaction_915
12	165000	20	62895000	9	9.222487e-30	5.184734e-21	interaction_256156	interaction_916
12	165000	20	62905000	6	1.939575e-19	1.338512e-11	interaction_256157	interaction_917
6	235000	12	165000	7	1.359045e-19	9.819866e-12	interaction_256164	interaction_918
1	216095000	19	32895000	5	9.718885e-16	8.955545e-09	interaction_256286	interaction_919
12	16125000	13	47185000	5	1.474089e-16	2.391068e-09	interaction_256354	interaction_920
1	216565000	11	37665000	5	6.084573e-16	6.446355e-09	interaction_256997	interaction_921
1	216745000	5	102495000	5	9.281225e-17	1.736125e-09	interaction_257313	interaction_922
12	16995000	13	42455000	5	4.017207e-16	4.859342e-09	interaction_257756	interaction_923
1	217635000	11	81265000	6	6.440039e-16	6.712183e-09	interaction_258739	interaction_924
4	26025000	12	1795000	5	1.895111e-16	2.867177e-09	interaction_259198	interaction_925
12	18005000	21	17745000	5	7.747085e-16	7.652314e-09	interaction_259367	interaction_926
12	18135000	14	64935000	6	1.609397e-16	2.539073e-09	interaction_259604	interaction_927
12	1825000	15	59515000	5	9.619278e-16	8.891917e-09	interaction_259745	interaction_928
1	218675000	19	8745000	5	3.307769e-17	8.224655e-10	interaction_260524	interaction_929
3	106605000	12	18695000	6	4.436043e-19	2.615058e-11	interaction_260567	interaction_930
1	219175000	3	175515000	6	4.912362e-17	1.103584e-09	interaction_261345	interaction_931
1	219255000	6	162875000	5	3.384795e-16	4.304772e-09	interaction_261511	interaction_932
1	219545000	12	16115000	5	7.005572e-16	7.130723e-09	interaction_261972	interaction_933
1	219635000	7	111545000	6	2.196106e-19	1.456668e-11	interaction_262120	interaction_934
1	219645000	8	89535000	5	5.029146e-17	1.121078e-09	interaction_262141	interaction_935
12	19705000	15	88295000	5	3.53977e-16	4.434243e-09	interaction_262191	interaction_936
12	19875000	20	59965000	5	1.040105e-15	9.408363e-09	interaction_262468	interaction_937
12	20095000	14	37065000	5	9.502149e-16	8.810143e-09	interaction_262791	interaction_938
6	100625000	12	20215000	5	4.816474e-16	5.494125e-09	interaction_263027	interaction_939
1	220325000	21	26215000	5	1.101648e-15	9.79648e-09	interaction_263152	interaction_940
12	20465000	19	23995000	5	2.13381e-16	3.12176e-09	interaction_263380	interaction_941
8	113455000	12	20475000	6	1.561649e-17	4.677751e-10	interaction_263417	interaction_942
1	220485000	12	102555000	5	5.747581e-16	6.197852e-09	interaction_263422	interaction_943
5	153445000	12	20715000	6	1.15025e-17	3.664509e-10	interaction_263801	interaction_944
6	105955000	12	20975000	5	9.41446e-17	1.753527e-09	interaction_264140	interaction_945
9	82185000	12	20995000	5	5.62085e-16	6.106905e-09	interaction_264166	interaction_946
5	38675000	12	21235000	5	4.422177e-16	5.180415e-09	interaction_264513	interaction_947
2	162455000	12	21465000	5	6.940875e-16	7.082071e-09	interaction_264840	interaction_948
12	21615000	19	32415000	5	9.456255e-16	8.782109e-09	interaction_265088	interaction_949
12	22005000	20	57165000	5	2.666032e-16	3.631845e-09	interaction_265657	interaction_950
1	222205000	4	190685000	5	9.942578e-16	9.11039e-09	interaction_265991	interaction_951
12	22365000	17	12805000	5	4.313075e-17	1.000648e-09	interaction_266211	interaction_952
12	2265000	15	31385000	5	3.393126e-16	4.311469e-09	interaction_266471	interaction_953
12	23125000	14	56265000	5	1.080565e-16	1.934294e-09	interaction_267167	interaction_954
1	223185000	3	62705000	5	3.563545e-17	8.696461e-10	interaction_267236	interaction_955
1	223235000	3	62005000	5	6.832745e-16	7.007514e-09	interaction_267308	interaction_956
12	2335000	15	42555000	6	2.707313e-20	2.486148e-12	interaction_267411	interaction_957
1	223665000	14	70145000	5	9.287003e-16	8.687392e-09	interaction_267942	interaction_958
6	37845000	12	23685000	5	1.070951e-16	1.924751e-09	interaction_267979	interaction_959
6	118425000	12	24095000	6	4.958841e-18	1.895506e-10	interaction_268594	interaction_960
1	224295000	16	62635000	5	6.155599e-16	6.506936e-09	interaction_268860	interaction_961
6	22585000	12	24425000	5	1.007836e-15	9.196304e-09	interaction_269060	interaction_962
1	224555000	3	68195000	6	3.593308e-16	4.475768e-09	interaction_269231	interaction_963
2	63545000	12	24955000	5	1.735678e-17	5.08666e-10	interaction_269844	interaction_964
1	225035000	7	156915000	5	7.213391e-17	1.457829e-09	interaction_269978	interaction_965
12	25875000	16	65195000	5	1.107727e-15	9.831529e-09	interaction_271207	interaction_966
8	68495000	12	25945000	5	9.668242e-16	8.921078e-09	interaction_271319	interaction_967
6	89925000	12	26255000	5	1.127272e-15	9.966668e-09	interaction_271757	interaction_968
1	226445000	15	35295000	5	1.782386e-16	2.739792e-09	interaction_271982	interaction_969
4	181755000	12	2665000	5	5.14703e-16	5.745118e-09	interaction_272221	interaction_970
12	26745000	17	4215000	5	9.541938e-16	8.8417e-09	interaction_272443	interaction_971
6	70315000	12	26765000	5	7.31332e-17	1.472021e-09	interaction_272479	interaction_972
3	143625000	12	27735000	5	4.949219e-16	5.597508e-09	interaction_273908	interaction_973
5	113155000	12	27875000	6	2.08682e-18	9.449947e-11	interaction_274138	interaction_974
1	228375000	3	3805000	5	1.074152e-16	1.927498e-09	interaction_274841	interaction_975
2	186345000	12	28395000	5	5.49744e-17	1.198264e-09	interaction_274850	interaction_976
12	28565000	15	95355000	6	6.660685e-19	3.694963e-11	interaction_275033	interaction_977
1	228605000	11	78535000	5	9.263427e-17	1.735211e-09	interaction_275057	interaction_978
2	85515000	12	28675000	5	8.766288e-17	1.669219e-09	interaction_275172	interaction_979
1	228685000	12	50095000	5	1.06764e-15	9.580928e-09	interaction_275177	interaction_980
1	229015000	2	82385000	5	8.055493e-16	7.853419e-09	interaction_275622	interaction_981
2	117385000	12	29195000	5	1.154219e-16	2.023134e-09	interaction_275880	interaction_982
12	29575000	20	10765000	5	8.745769e-16	8.314537e-09	interaction_276411	interaction_983
4	89785000	12	30065000	5	6.404654e-16	6.678323e-09	interaction_277171	interaction_984
12	30165000	13	62025000	6	1.995197e-19	1.362619e-11	interaction_277297	interaction_985
1	230345000	12	128925000	5	1.002416e-16	1.833748e-09	interaction_277590	interaction_986
2	98025000	12	30345000	5	1.077805e-15	9.653579e-09	interaction_277598	interaction_987
1	23075000	2	173445000	6	2.921839e-20	2.659014e-12	interaction_278126	interaction_988
1	231165000	8	94905000	5	4.736359e-17	1.072451e-09	interaction_278789	interaction_989
1	232035000	14	93575000	5	1.219265e-16	2.101196e-09	interaction_279725	interaction_990
1	232065000	12	38805000	6	1.196127e-18	5.993518e-11	interaction_279743	interaction_991
4	26635000	12	3245000	5	9.534227e-16	8.836331e-09	interaction_280171	interaction_992
3	192915000	12	3265000	5	1.085104e-15	9.696121e-09	interaction_280423	interaction_993
12	32795000	20	20245000	6	1.146248e-16	2.016922e-09	interaction_280689	interaction_994
6	56175000	12	33085000	5	4.870461e-16	5.534691e-09	interaction_281011	interaction_995
6	37545000	12	3325000	5	2.073707e-17	5.793695e-10	interaction_281179	interaction_996
3	15335000	12	33525000	5	1.510553e-16	2.428848e-09	interaction_281617	interaction_997
1	233585000	10	100635000	5	7.809611e-17	1.541824e-09	interaction_281699	interaction_998
4	140235000	12	33875000	7	1.909312e-19	1.327565e-11	interaction_282137	interaction_999
1	234025000	8	52515000	5	1.074324e-16	1.927498e-09	interaction_282340	interaction_1000
8	71145000	12	34235000	5	4.406582e-16	5.167209e-09	interaction_282590	interaction_1001
1	234495000	5	117205000	5	1.773983e-17	5.158276e-10	interaction_282859	interaction_1002
1	234585000	6	22735000	5	4.995638e-17	1.116849e-09	interaction_282953	interaction_1003
5	129685000	12	34785000	6	2.80428e-17	7.34933e-10	interaction_283251	interaction_1004
3	87455000	12	34855000	6	1.975339e-19	1.359124e-11	interaction_283376	interaction_1005
12	365000	15	62755000	5	3.299264e-16	4.240118e-09	interaction_284082	interaction_1006
1	236295000	4	12165000	5	5.510392e-16	6.01008e-09	interaction_284239	interaction_1007
1	236355000	6	101705000	5	2.880665e-16	3.840255e-09	interaction_284286	interaction_1008
9	15085000	12	3695000	5	1.282458e-16	2.183167e-09	interaction_284700	interaction_1009
1	23775000	2	106315000	5	2.038315e-16	3.014576e-09	interaction_285199	interaction_1010
1	237955000	20	53365000	5	5.368059e-16	5.900395e-09	interaction_285382	interaction_1011
2	161975000	12	38135000	5	1.573103e-16	2.499837e-09	interaction_285538	interaction_1012
12	38615000	13	61165000	5	1.803907e-16	2.763658e-09	interaction_286153	interaction_1013
7	91705000	12	38875000	5	3.504152e-16	4.401688e-09	interaction_286505	interaction_1014
1	239615000	15	88265000	5	1.43965e-16	2.349259e-09	interaction_287678	interaction_1015
9	12395000	12	40565000	5	8.549528e-16	8.195578e-09	interaction_289085	interaction_1016
1	240815000	4	76185000	6	7.369466e-19	4.020421e-11	interaction_289464	interaction_1017
12	41375000	13	35445000	5	9.099381e-16	8.553405e-09	interaction_290336	interaction_1018
1	241455000	8	66995000	5	6.901861e-16	7.053191e-09	interaction_290460	interaction_1019
1	241475000	4	128635000	7	2.613919e-19	1.668965e-11	interaction_290486	interaction_1020
9	37665000	12	4195000	5	1.907678e-16	2.872707e-09	interaction_291158	interaction_1021
1	241975000	7	115755000	6	2.111996e-17	5.889963e-10	interaction_291269	interaction_1022
1	242085000	4	155285000	5	2.859347e-17	7.430285e-10	interaction_291461	interaction_1023
1	242265000	20	54695000	5	2.287024e-17	6.264391e-10	interaction_291664	interaction_1024
1	242405000	13	26295000	5	5.771147e-16	6.2189e-09	interaction_291891	interaction_1025
1	242455000	10	38595000	5	5.186156e-16	5.773413e-09	interaction_291933	interaction_1026
1	242475000	10	38585000	19	5.425093e-68	2.084098e-58	interaction_291953	interaction_1027
1	242575000	4	73015000	6	1.102931e-17	3.538211e-10	interaction_292047	interaction_1028
1	242585000	3	115175000	6	1.033379e-16	1.879921e-09	interaction_292070	interaction_1029
4	151135000	12	43015000	5	1.040043e-15	9.408363e-09	interaction_292691	interaction_1030
2	41605000	12	4325000	6	5.346463e-20	4.4804e-12	interaction_292895	interaction_1031
1	243285000	4	119475000	5	5.186156e-16	5.773413e-09	interaction_292969	interaction_1032
12	43325000	21	29575000	5	5.004278e-16	5.636718e-09	interaction_293019	interaction_1033
1	243625000	12	34085000	5	5.945328e-16	6.342331e-09	interaction_293510	interaction_1034
7	112305000	12	43625000	5	2.509705e-16	3.486893e-09	interaction_293523	interaction_1035
4	82775000	12	43815000	5	3.071064e-16	4.013916e-09	interaction_293840	interaction_1036
12	43835000	18	55245000	5	6.445052e-16	6.71589e-09	interaction_293875	interaction_1037
12	44045000	13	19855000	5	1.679564e-16	2.620182e-09	interaction_294183	interaction_1038
12	4415000	15	52105000	5	6.345709e-16	6.634868e-09	interaction_294271	interaction_1039
12	44405000	19	37475000	6	5.785007e-17	1.24735e-09	interaction_294699	interaction_1040
8	65145000	12	44585000	6	1.259138e-17	3.954027e-10	interaction_294936	interaction_1041
12	44785000	13	26635000	5	3.361538e-16	4.290191e-09	interaction_295171	interaction_1042
1	244785000	7	4915000	5	1.752396e-16	2.703862e-09	interaction_295194	interaction_1043
1	245075000	13	111545000	6	6.997456e-21	7.735642e-13	interaction_295602	interaction_1044
2	136535000	12	4515000	6	4.551031e-18	1.773443e-10	interaction_295640	interaction_1045
1	245325000	5	173725000	5	6.52807e-16	6.783995e-09	interaction_295913	interaction_1046
1	245395000	8	128055000	5	2.236629e-16	3.218056e-09	interaction_296005	interaction_1047
8	59945000	12	45485000	5	4.10412e-16	4.938558e-09	interaction_296110	interaction_1048
4	60475000	12	45635000	5	2.630915e-16	3.598894e-09	interaction_296290	interaction_1049
1	24585000	18	22675000	5	4.31869e-16	5.09697e-09	interaction_296472	interaction_1050
1	24605000	5	73765000	5	4.20565e-17	9.846206e-10	interaction_296760	interaction_1051
1	246065000	13	51205000	5	3.538363e-16	4.433686e-09	interaction_296864	interaction_1052
1	246595000	11	92215000	6	2.554862e-17	6.827391e-10	interaction_297657	interaction_1053
3	149325000	12	47005000	5	1.65299e-18	7.815519e-11	interaction_298158	interaction_1054
12	4715000	17	6575000	5	5.814072e-16	6.252106e-09	interaction_298320	interaction_1055
1	247365000	4	19655000	6	1.316613e-18	6.450017e-11	interaction_298657	interaction_1056
1	247395000	3	35265000	6	7.519203e-19	4.07798e-11	interaction_298692	interaction_1057
1	247635000	2	224715000	5	3.330389e-17	8.249752e-10	interaction_298989	interaction_1058
1	247775000	6	72415000	5	1.722154e-16	2.67154e-09	interaction_299160	interaction_1059
12	47995000	18	41175000	6	2.033704e-18	9.273183e-11	interaction_299493	interaction_1060
1	247995000	4	101725000	5	8.736137e-17	1.6668e-09	interaction_299496	interaction_1061
3	2655000	12	48055000	5	3.085922e-17	7.846561e-10	interaction_299584	interaction_1062
1	24835000	7	130325000	5	1.410479e-17	4.323258e-10	interaction_299864	interaction_1063
1	248395000	2	109165000	6	5.946958e-19	3.357838e-11	interaction_299945	interaction_1064
4	161345000	12	48585000	5	6.760172e-18	2.425196e-10	interaction_300204	interaction_1065
6	38675000	12	48685000	5	2.579311e-16	3.551489e-09	interaction_300322	interaction_1066
2	2285000	12	48755000	5	1.201116e-16	2.075351e-09	interaction_300398	interaction_1067
1	248845000	5	97865000	6	1.130637e-17	3.61201e-10	interaction_300496	interaction_1068
3	8595000	12	49225000	5	7.478014e-16	7.452001e-09	interaction_300868	interaction_1069
7	99445000	12	49375000	5	5.166713e-16	5.75733e-09	interaction_300940	interaction_1070
1	24945000	11	66685000	5	6.220411e-18	2.265049e-10	interaction_300964	interaction_1071
3	47525000	12	49615000	5	3.570151e-16	4.45976e-09	interaction_301069	interaction_1072
9	95265000	12	49655000	5	6.931834e-17	1.419768e-09	interaction_301096	interaction_1073
12	49715000	21	36885000	5	5.480548e-17	1.196818e-09	interaction_301141	interaction_1074
12	50365000	18	21445000	5	1.065584e-16	1.919291e-09	interaction_301532	interaction_1075
1	2515000	4	143045000	5	1.072434e-17	3.459636e-10	interaction_301898	interaction_1076
12	51115000	17	51535000	5	4.189798e-16	4.996012e-09	interaction_301997	interaction_1077
12	51385000	16	68665000	5	9.58121e-18	3.172075e-10	interaction_302173	interaction_1078
9	16415000	12	51475000	5	3.250524e-16	4.193207e-09	interaction_302243	interaction_1079
9	115205000	12	52245000	5	1.596772e-16	2.525205e-09	interaction_302697	interaction_1080
12	53015000	14	78075000	5	2.19168e-16	3.176185e-09	interaction_303106	interaction_1081
12	55025000	15	93215000	5	9.404585e-16	8.762571e-09	interaction_304206	interaction_1082
6	167325000	12	55705000	5	1.229751e-16	2.114524e-09	interaction_304735	interaction_1083
12	5585000	15	67305000	5	6.887499e-16	7.043712e-09	interaction_304792	interaction_1084
2	65225000	12	56195000	5	5.121423e-18	1.944752e-10	interaction_305041	interaction_1085
7	99045000	12	56195000	5	1.307851e-16	2.214129e-09	interaction_305043	interaction_1086
4	148215000	12	5635000	5	6.251513e-16	6.573654e-09	interaction_305102	interaction_1087
1	25675000	4	85365000	5	2.162599e-16	3.148909e-09	interaction_305265	interaction_1088
3	52655000	12	56885000	5	7.70004e-17	1.524704e-09	interaction_305361	interaction_1089
12	56985000	15	39995000	26	1.75604e-93	8.99465e-84	interaction_305415	interaction_1090
12	57585000	17	79875000	5	2.655911e-16	3.622339e-09	interaction_305792	interaction_1091
12	57625000	14	75755000	5	8.922032e-18	3.00656e-10	interaction_305814	interaction_1092
7	18725000	12	57725000	5	6.527625e-17	1.360869e-09	interaction_305882	interaction_1093
3	100045000	12	57925000	5	1.06888e-15	9.58832e-09	interaction_305925	interaction_1094
6	86455000	12	58055000	5	2.142276e-16	3.12819e-09	interaction_306011	interaction_1095
12	58195000	22	25905000	6	8.33906e-19	4.44934e-11	interaction_306108	interaction_1096
3	70905000	12	58195000	5	3.289232e-16	4.230763e-09	interaction_306109	interaction_1097
12	58215000	20	47635000	5	1.618126e-16	2.551098e-09	interaction_306136	interaction_1098
8	86295000	12	5845000	5	5.498087e-16	6.003843e-09	interaction_306239	interaction_1099
12	5915000	17	65665000	5	9.794059e-16	9.004729e-09	interaction_306842	interaction_1100
12	59445000	22	31915000	5	1.626145e-17	4.814629e-10	interaction_307150	interaction_1101
5	106935000	12	59555000	5	1.031359e-15	9.353668e-09	interaction_307255	interaction_1102
2	50895000	12	59625000	6	2.209866e-16	3.193504e-09	interaction_307325	interaction_1103
12	60535000	15	44395000	6	2.805936e-17	7.349491e-10	interaction_308046	interaction_1104
3	181385000	12	60675000	5	5.123853e-16	5.728958e-09	interaction_308189	interaction_1105
6	32435000	12	60915000	5	6.073074e-16	6.435934e-09	interaction_308347	interaction_1106
1	26115000	3	123345000	5	1.940607e-16	2.909275e-09	interaction_308530	interaction_1107
3	111955000	12	61615000	5	5.932479e-16	6.33353e-09	interaction_308945	interaction_1108
2	188335000	12	61625000	5	1.9063e-17	5.431316e-10	interaction_308953	interaction_1109
8	128175000	12	61655000	5	1.65916e-16	2.596258e-09	interaction_308984	interaction_1110
3	97035000	12	61865000	5	1.999752e-16	2.968977e-09	interaction_309164	interaction_1111
12	61875000	18	35885000	5	8.777436e-16	8.339483e-09	interaction_309172	interaction_1112
12	6275000	18	45455000	5	6.024297e-17	1.285716e-09	interaction_309897	interaction_1113
2	226045000	12	63465000	6	1.232631e-17	3.884017e-10	interaction_310490	interaction_1114
7	35235000	12	64075000	5	5.186156e-16	5.773413e-09	interaction_310934	interaction_1115
6	47955000	12	64195000	5	8.415159e-16	8.097977e-09	interaction_310986	interaction_1116
12	64225000	17	10775000	5	6.532391e-16	6.78556e-09	interaction_311020	interaction_1117
2	211135000	12	6465000	5	5.811675e-17	1.251929e-09	interaction_311296	interaction_1118
3	84665000	12	65155000	5	3.455026e-16	4.361069e-09	interaction_311678	interaction_1119
12	65445000	17	58705000	6	2.684999e-18	1.163308e-10	interaction_311878	interaction_1120
2	81885000	12	65655000	5	7.369647e-16	7.393557e-09	interaction_312076	interaction_1121
4	160345000	12	66035000	5	1.165408e-16	2.035716e-09	interaction_312362	interaction_1122
1	26645000	6	28565000	5	7.49077e-16	7.461487e-09	interaction_312623	interaction_1123
2	168835000	12	66985000	6	1.320865e-17	4.111456e-10	interaction_313132	interaction_1124
6	117295000	12	67215000	6	1.039952e-17	3.383262e-10	interaction_313344	interaction_1125
12	67315000	19	20275000	5	2.909853e-17	7.497745e-10	interaction_313446	interaction_1126
2	225915000	12	67445000	5	2.97316e-16	3.929289e-09	interaction_313569	interaction_1127
6	120775000	12	67565000	5	4.889288e-16	5.551446e-09	interaction_313659	interaction_1128
4	21115000	12	67575000	5	2.681446e-16	3.645303e-09	interaction_313662	interaction_1129
3	31345000	12	68285000	6	1.97553e-21	2.611493e-13	interaction_314225	interaction_1130
1	26865000	8	42085000	5	1.105742e-17	3.544762e-10	interaction_314482	interaction_1131
8	52185000	12	6905000	6	1.978064e-17	5.577182e-10	interaction_314727	interaction_1132
9	87495000	12	69105000	5	2.239668e-16	3.219371e-09	interaction_314791	interaction_1133
12	69425000	18	41135000	5	3.446001e-16	4.354646e-09	interaction_314968	interaction_1134
8	141795000	12	69895000	5	4.716476e-16	5.416672e-09	interaction_315271	interaction_1135
4	100885000	12	70085000	5	5.707485e-16	6.161822e-09	interaction_315389	interaction_1136
5	152985000	12	70225000	6	3.938125e-18	1.585536e-10	interaction_315526	interaction_1137
12	70375000	20	15035000	5	6.037353e-16	6.409867e-09	interaction_315632	interaction_1138
3	132545000	12	70385000	5	5.234489e-16	5.795032e-09	interaction_315643	interaction_1139
7	147155000	12	70435000	5	9.705555e-17	1.789669e-09	interaction_315676	interaction_1140
7	155775000	12	70485000	5	9.398648e-17	1.751998e-09	interaction_315707	interaction_1141
8	49735000	12	71415000	7	2.150019e-20	2.047808e-12	interaction_316519	interaction_1142
8	53205000	12	725000	5	3.224783e-16	4.164132e-09	interaction_317059	interaction_1143
12	72445000	15	44905000	5	8.779191e-17	1.670296e-09	interaction_317345	interaction_1144
12	73235000	15	94885000	13	3.908666e-47	8.190269e-38	interaction_318024	interaction_1145
5	120735000	12	73765000	6	2.089961e-18	9.454884e-11	interaction_318422	interaction_1146
7	125265000	12	74015000	6	6.304865e-17	1.325346e-09	interaction_318649	interaction_1147
2	104615000	12	74095000	5	3.638411e-16	4.518518e-09	interaction_318686	interaction_1148
12	74215000	16	61975000	5	5.634183e-16	6.11556e-09	interaction_318791	interaction_1149
12	74305000	13	82055000	5	1.999426e-17	5.623655e-10	interaction_318833	interaction_1150
3	32725000	12	74455000	5	6.984522e-17	1.427217e-09	interaction_318945	interaction_1151
5	126675000	12	74505000	5	3.723515e-16	4.587136e-09	interaction_318982	interaction_1152
3	74625000	12	7545000	5	9.51363e-17	1.764158e-09	interaction_319726	interaction_1153
1	27565000	3	162635000	5	2.748809e-16	3.714968e-09	interaction_319896	interaction_1154
8	20595000	12	75855000	5	1.139659e-17	3.635793e-10	interaction_320091	interaction_1155
9	130325000	12	76005000	5	1.817284e-16	2.776769e-09	interaction_320223	interaction_1156
6	29345000	12	7615000	5	1.002894e-17	3.281226e-10	interaction_320308	interaction_1157
5	27625000	12	7625000	5	3.659751e-16	4.537686e-09	interaction_320371	interaction_1158
12	76315000	13	93155000	5	3.832118e-16	4.684622e-09	interaction_320453	interaction_1159
3	162805000	12	76315000	5	3.107696e-16	4.049235e-09	interaction_320454	interaction_1160
12	77375000	22	20115000	15	2.410437e-54	5.848365e-45	interaction_321230	interaction_1161
1	27775000	18	71125000	5	7.977919e-16	7.801755e-09	interaction_321541	interaction_1162
4	122095000	12	77945000	6	4.227489e-17	9.862519e-10	interaction_321693	interaction_1163
5	85455000	12	78205000	6	7.262012e-17	1.464323e-09	interaction_321945	interaction_1164
4	9425000	12	78585000	6	9.851304e-18	3.241514e-10	interaction_322247	interaction_1165
9	17405000	12	80175000	6	8.735507e-17	1.6668e-09	interaction_323557	interaction_1166
12	80225000	15	81365000	6	2.400036e-17	6.492926e-10	interaction_323597	interaction_1167
4	125075000	12	80405000	5	5.623491e-17	1.219942e-09	interaction_323700	interaction_1168
9	37245000	12	80585000	6	1.19325e-16	2.068738e-09	interaction_323841	interaction_1169
4	28465000	12	81335000	5	8.869731e-16	8.399475e-09	interaction_324443	interaction_1170
3	115165000	12	81565000	5	8.652308e-17	1.657098e-09	interaction_324646	interaction_1171
12	81635000	15	49925000	5	1.184297e-16	2.060189e-09	interaction_324706	interaction_1172
5	174005000	12	81885000	5	1.940963e-16	2.909275e-09	interaction_324920	interaction_1173
6	120705000	12	82605000	5	8.252616e-16	7.984009e-09	interaction_325467	interaction_1174
3	109755000	12	82615000	5	3.802194e-16	4.657924e-09	interaction_325483	interaction_1175
1	28325000	4	64395000	5	5.682104e-18	2.110715e-10	interaction_326032	interaction_1176
7	15045000	12	83375000	6	3.714625e-17	8.976609e-10	interaction_326163	interaction_1177
